date,sessions
2017-01-26,511
2017-01-27,381
2017-01-28,70
2017-01-29,100
2017-01-30,579
2017-01-31,491
2017-02-01,428
2017-02-02,349
2017-02-03,429
2017-02-04,72
2017-02-05,92
2017-02-06,504
2017-02-07,482
2017-02-08,476
2017-02-09,383
2017-02-10,429
2017-02-11,52
2017-02-12,13
2017-02-13,585
2017-02-14,444
2017-02-15,478
2017-02-16,370
2017-02-17,323
2017-02-18,10
2017-02-19,28
2017-02-20,20
2017-02-21,408
2017-02-22,501
2017-02-23,399
2017-02-24,292
2017-02-25,65
2017-02-26,78
2017-02-27,589
2017-02-28,431
2017-03-01,467
2017-03-02,368
2017-03-03,215
2017-03-04,47
2017-03-05,74
2017-03-06,381
2017-03-07,427
2017-03-08,455
2017-03-09,428
2017-03-10,271
2017-03-11,55
2017-03-12,55
2017-03-13,403
2017-03-14,495
2017-03-15,487
2017-03-16,383
2017-03-17,202
2017-03-18,75
2017-03-19,67
2017-03-20,386
2017-03-21,399
2017-03-22,439
2017-03-23,428
2017-03-24,124
2017-03-25,5
2017-03-26,2
2017-03-27,3
2017-03-28,4
2017-03-29,5
2017-03-30,10
2017-03-31,2
2017-04-01,6
2017-04-02,16
2017-04-03,291
2017-04-04,374
2017-04-05,373
2017-04-06,400
2017-04-07,240
2017-04-08,61
2017-04-09,54
2017-04-10,317
2017-04-11,415
2017-04-12,431
2017-04-13,440
2017-04-14,191
2017-04-15,40
2017-04-16,49
2017-04-17,304
2017-04-18,477
2017-04-19,425
2017-04-20,417
2017-04-21,240
2017-04-22,52
2017-04-23,59
2017-04-24,315
2017-04-25,503
2017-04-26,457
2017-04-27,1
2017-04-28,195
2017-04-29,41
2017-04-30,31
2017-05-01,261
2017-05-02,271
2017-05-03,282
2017-05-04,266
2017-05-05,157
2017-05-06,100
2017-05-07,95
2017-05-08,345
2017-05-09,242
2017-05-10,275
2017-05-11,243
2017-05-12,84
2017-05-13,10
2017-05-14,4
2017-05-15,4
2017-05-16,2
2017-05-17,2
2017-05-18,7
2017-05-19,5
2017-05-20,5
2017-05-21,4
2017-05-22,4
2017-05-23,1
2017-05-24,3
2017-05-25,2
2017-05-26,2
2017-05-27,3
2017-05-28,4
2017-05-29,8
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,3
2017-06-07,1
2017-06-08,2
2017-06-09,3
2017-06-10,5
2017-06-11,2
2017-06-12,2
2017-06-13,2
2017-06-14,4
2017-06-15,3
2017-06-16,4
2017-06-17,4
2017-06-18,3
2017-06-19,5
2017-06-20,4
2017-06-21,8
2017-06-22,9
2017-06-23,4
2017-06-24,5
2017-06-25,4
2017-06-26,8
2017-06-27,6
2017-06-28,5
2017-06-29,7
2017-06-30,5
2017-07-01,2
2017-07-02,3
2017-07-03,3
2017-07-04,4
2017-07-05,4
2017-07-06,5
2017-07-07,4
2017-07-08,5
2017-07-09,4
2017-07-10,6
2017-07-11,7
2017-07-12,5
2017-07-13,6
2017-07-14,6
2017-07-15,3
2017-07-16,4
2017-07-17,6
2017-07-18,4
2017-07-19,3
2017-07-20,4
